Exporter,Category,Export Value
4,"Fruit, edible",468765.313
4,Coal,218615.494
4,"Natural gums, resins, gum-resins and oleoresins, n.e.c. in heading no. 1301",155918.212
4,"Nuts, edible",154362.831
4,Cotton,135076.78699999998
8,Footwear,642809.8400000001
8,Electrical energy,337298.382
8,"Trousers, bib and brace overalls, breeches and shorts",215745.581
8,Oils,196569.226
8,Iron or non-alloy steel,163538.896
12,Petroleum gases and other gaseous hydrocarbons,26992048.483
12,Oils,14141570.821
12,"Petroleum oils and oils from bituminous minerals, not crude",5673374.276
12,"Fertilizers, mineral or chemical",1265308.447
12,Iron or non-alloy steel,1070845.479
16,"Flours, meals and pellets",3837.394
16,Aluminium,3439.909
16,"Petroleum oils and oils from bituminous minerals, not crude",1870.147
16,Turbines,1696.607
16,Insulated electric conductors,929.199
20,"Paintings, drawings and pastels",50876.377
20,Semiconductor media,38691.549
20,Vehicles,38037.403
20,Dental fittings,18555.319999999996
20,"Paper, cigarette",8438.389
24,Oils,32393372.957000002
24,Diamonds,3420210.305
24,Petroleum gases and other gaseous hydrocarbons,3088039.5700000003
24,"Petroleum oils and oils from bituminous minerals, not crude",215997.74899999998
24,Granite,71645.633
28,"Petroleum oils and oils from bituminous minerals, not crude",20415.606
28,Oil-cake and other solid residues,10929.862000000001
28,Vessels,8063.963
28,Crustaceans,5238.603
28,"Paintings, drawings and pastels",5159.557
31,Oils,16752162.584999999
31,Petroleum gases and other gaseous hydrocarbons,10886296.820999999
31,"Petroleum oils and oils from bituminous minerals, not crude",720521.693
31,Electrical energy,402483.176
31,"Fruit, edible",391719.099
32,Vehicles,7668727.905
32,Cereals,7346405.853
32,Oil-cake and other solid residues,7285378.506
32,Vegetable oils,5344635.893
32,Oils,3963661.605
36,Iron ores and concentrates,93197386.874
36,Coal,79315742.83299999
36,Petroleum gases and other gaseous hydrocarbons,47746461.616
36,Metals,21636676.261
36,Cereals,13276452.337
40,Vehicles,14306457.277
40,"Blood, human or animal, antisera, other blood fractions and immunological products",9292234.159
40,Medicaments,8482671.497
40,Engines,6357657.114
40,Heterocyclic compounds,5841350.317
44,"Petroleum oils and oils from bituminous minerals, not crude",1346636.888
44,Floating or submersible drilling or production platforms,335845.21
44,Aluminium,184895.57400000002
44,Vessels and other floating structures,92000.0
44,Dredgers,87533.429
48,Aluminium,4845062.667
48,"Petroleum oils and oils from bituminous minerals, not crude",4745524.932
48,Iron ores and concentrates,1822632.76
48,Iron or non-alloy steel,668850.087
48,Dairy produce,503973.32399999996
50,"Trousers, bib and brace overalls, breeches and shorts",14011084.077
50,"T-shirts, singlets and other vests",7264953.927
50,"Jerseys, pullovers, cardigans, waistcoats and similar articles",6264263.213
50,Shirts,3741895.5470000003
50,Coats,2747529.382
51,Metals,2076962.26
51,Diamonds,714017.0380000001
51,Copper ores and concentrates,544561.152
51,Telephone sets,493833.553
51,Jewellery,490121.196
52,Rum and other spirits obtained by distilling fermented sugar-cane products,57162.157
52,Oils,37590.780999999995
52,"Petroleum oils and oils from bituminous minerals, not crude",30110.437
52,Artificial parts of the body,18047.715
52,"Spirits, liqueurs and other spirituous beverages",13035.232
56,"Petroleum oils and oils from bituminous minerals, not crude",34654854.0
56,Vehicles,33818360.162
56,Petroleum gases and other gaseous hydrocarbons,33700439.223
56,Medicaments,24776104.707
56,"Vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products",15376651.906
60,Oils,94045.884
60,Vessels,80618.677
60,"Aeroplanes and other aircraft, except unmanned",57102.716
60,Containers,4061.13
60,Rum and other spirits obtained by distilling fermented sugar-cane products,2986.5600000000004
64,Ferro-alloys,211823.527
64,"Aeroplanes and other aircraft, except unmanned",103493.483
64,"Dolomite, not calcined or sintered",50548.89
64,Iron or non-alloy steel,12430.442
64,Cement,11829.878
68,Metals,2629006.268
68,Petroleum gases and other gaseous hydrocarbons,2082120.3630000001
68,Zinc ores and concentrates,1253017.782
68,Oil-cake and other solid residues,1219090.012
68,Silver ores and concentrates,909043.986
70,Electrical energy,606600.496
70,Iron or steel,530585.74
70,Wood,528649.578
70,Footwear,492075.399
70,Aluminium,458959.414
72,Diamonds,5311941.452
72,Copper ores and concentrates,566452.8509999999
72,Insulated electric conductors,156079.019
72,Carbonates,62226.52
72,Cattle,50396.587999999996
76,Soya beans,53680380.357999995
76,Oils,43607001.004
76,Iron ores and concentrates,31308907.411000002
76,Sugars,18203806.364
76,Cereals,15315592.714
84,Sugars,116715.887
84,"Fruit, edible",42422.167
84,Fish,31994.339
84,"Petroleum oils and oils from bituminous minerals, not crude",20912.677
84,Crustaceans,17270.278
86,Fish,15253.419999999998
86,Heat exchange units,4977.504
86,Machinery,1652.667
86,Electric motors and generators,185.233
86,Cereals,135.721
90,"Wood, tropical",194057.151
90,Wood,85501.147
90,Fish preparations,78328.521
90,Metals,59307.525
90,Vegetable oils,40206.471
92,Motorboats,91242.538
92,"Aeroplanes and other aircraft, except unmanned",39504.557
92,Vessels,18731.897
92,Tankers,10610.0
92,Stones,5518.582
